"","x"
"1",0.278626619415558
"2",0.0102627028835964
"3",0.00480769230769231
"4",0
"5",0.000544959128065395
"6",0.052683741067237
"7",0.134430344442895
"8",0.00374131480491716
"9",0.00088813890492473
"10",0.00528757958346822
"11",0.155711114905242
"12",0.0045917898796951
"13",0
"14",0.00142761968211668
"15",0.00777604976671851
"16",0.00416982562547384
"17",0.194974764099188
"18",0.160895094548985
"19",0.000253662248715835
"20",0.000641299700726806
"21",0.279323766920351
"22",0.015474617852425
"23",0.00144939206055238
"24",0
"25",0.000188554728009805
"26",0.0319101524200018
"27",0.0351089588377724
"28",0.00137997654039881
"29",0.000310245869851858
"30",0.0387138204669511
"31",0.230692210132835
"32",0.00226052557219554
"33",0
"34",0.00271817470450146
"35",0.0486657040483448
"36",0.000578913090672263
"37",0.165154687136543
"38",0.236985861182519
"39",0.000315192267283043
"40",0.000363983802720779
"41",0.0102627028835964
"42",0.0152859030005661
"43",0.00974495622382946
"44",0.0042383656861914
"45",0
"46",0.299213958711238
"47",0.0818951992469407
"48",0.0188046551384049
"49",0.00965964832842804
"50",0.000710574232801883
"51",0.00191119322163471
"52",0.0154653039268424
"53",0
"54",0.0171220546465576
"55",0.00103013134174607
"56",0.0112831097351221
"57",0.0507856467516096
"58",0.0162423863813837
"59",0.0192385581206966
"60",0.0107512667988544
"61",0.00480769230769231
"62",0.00144939206055238
"63",0.00974495622382946
"64",0
"65",0.00157109190887667
"66",0.0107115531752104
"67",0.0151922961899635
"68",0.375932835820896
"69",0.00078984485190409
"70",0.000145560407569141
"71",0.00144508670520231
"72",0.394749794913864
"73",0
"74",0.00517879161528977
"75",0
"76",0.426536992011115
"77",0.00312639571237159
"78",0.00201960201960202
"79",0.0034624145785877
"80",0.00316137376059779
"81",0
"82",0
"83",0.00432313299991523
"84",0
"85",0
"86",0.00394588500563698
"87",0.000735889322245934
"88",0
"89",0.00667045131989781
"90",0.000165296086615149
"91",0.00437309396397952
"92",0
"93",0.00268223414326286
"94",0.0137936204505416
"95",0.000189600417120918
"96",0
"97",0.00652910894404219
"98",0.0043965706748736
"99",0.0993748250443221
"100",0.13283012675883
"101",0.000544959128065395
"102",0.000188554728009805
"103",0
"104",0.00157109190887667
"105",0
"106",0.00175089534421011
"107",0.000402495471925941
"108",0.0012987012987013
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0.00189296162450525
"118",0
"119",0
"120",0
"121",0.052683741067237
"122",0.0318210179160353
"123",0.299213958711238
"124",0.0108506642554079
"125",0.00394588500563698
"126",0.00175089534421011
"127",0.191338170394196
"128",0.0277186797155188
"129",0.00482987312572088
"130",0.00210446567616482
"131",0.0144046283723951
"132",0.0282983740846469
"133",0
"134",0.00487823468882198
"135",0.00280776492230237
"136",0.0167332192432021
"137",0.0462200997740161
"138",0.0210024577344157
"139",0.000762122511193674
"140",0.00125328988595062
"141",0.134337377399712
"142",0.0351896690879742
"143",0.0819736429243803
"144",0.0151922961899635
"145",0.000735889322245934
"146",0.000402495471925941
"147",0.191338170394196
"148",0.0272441866652477
"149",0.0061158013694077
"150",0.00222213708287039
"151",0.0116176546859603
"152",0.0275249241439098
"153",0
"154",0.00167943738847486
"155",0.00208704726292448
"156",0.023621612671781
"157",0.0521806551657298
"158",0.0602137279079326
"159",0.000514226945491944
"160",0.00136991514136763
"161",0.00374131480491716
"162",0.00137997654039881
"163",0.0190676573081728
"164",0.377487562189055
"165",0
"166",0.0012987012987013
"167",0.0277186797155188
"168",0.0272441866652477
"169",0.00131319763624425
"170",0
"171",0.00022237046920169
"172",0.518545721630555
"173",0
"174",0.00481032032360337
"175",0.000314663310258024
"176",0.542134831460674
"177",0.00812483879288109
"178",0.0029615526997726
"179",0.00337190589317189
"180",0.00225112556278139
"181",0.00088813890492473
"182",0.000310245869851858
"183",0.00965964832842804
"184",0.00078984485190409
"185",0.00674141356798183
"186",0
"187",0.00482987312572088
"188",0.0061158013694077
"189",0.00131319763624425
"190",0.000295126720035415
"191",0.00325331493074383
"192",0.000822114890555955
"193",0.000641683778234086
"194",0.218203940919999
"195",0.000166631951676734
"196",0.000836601307189542
"197",0.0170142905115481
"198",0.00774783126945235
"199",0.00295785062854326
