"","x"
"1",0.000123548307388189
"2",0.20305195377966
"3",0
"4",0.0014626298083955
"5",0.00338839474798814
"6",0.200979450739389
"7",0.00340044742729306
"8",0.000299625468164794
"9",0.0924949290060852
"10",0
"11",0.0324040736549738
"12",0
"13",0.0531805039239983
"14",0.320867316490949
"15",0.101650863936083
"16",0
"17",0.0046339202965709
"18",0
"19",0.135520172393152
"20",0.00427663046536492
"21",0
"22",0
"23",0.000123548307388189
"24",0
"25",0
"26",0.000805769308247049
"27",0
"28",7.95608242501392e-05
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",8.44665934622857e-05
"36",8.1906790072897e-05
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0.203228367292935
"46",0
"47",0
"48",0.00210315473209815
"49",0.00122286762457964
"50",0.0227732045152068
"51",0.0375991563116145
"52",0.0026084121291164
"53",0.223519112926758
"54",0
"55",0.0325908682080313
"56",0
"57",0.00956073723907155
"58",0.152501660959779
"59",0.264182644791461
"60",0
"61",0.0269678071801787
"62",0
"63",0.324116743471582
"64",0.04492164828787
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",8.55614973262032e-05
"77",0
"78",0.000478080030597122
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0.000174261566611484
"85",0
"86",0
"87",0
"88",0.000476928579945153
"89",0.0014626298083955
"90",0.000805769308247049
"91",0.00210315473209815
"92",0
"93",0.0609569865105625
"94",0.00468415871830556
"95",0.00045186069780202
"96",0
"97",0.000748689792862491
"98",0
"99",0.057560106856634
"100",0
"101",0.0165708367558302
"102",0.00452315507463206
"103",0.000816048962937776
"104",0
"105",0
"106",0
"107",0.00141292829388909
"108",0.00106044538706257
"109",0
"110",0
"111",0.00338839474798814
"112",0
"113",0.00122286762457964
"114",0
"115",0.0610842453550522
"116",0.00212062620844508
"117",0
"118",0
"119",0.00538461538461538
"120",0
"121",0.0237591315627774
"122",0
"123",0.00754820558567213
"124",0.00757526284856005
"125",0.000500563133525216
"126",0
"127",0
"128",0
"129",0.00337268128161889
"130",0
"131",0
"132",0
"133",0.200979450739389
"134",7.95608242501392e-05
"135",0.0226746192142752
"136",0
"137",0.00468415871830556
"138",0.00212062620844508
"139",0.00293929712460064
"140",0.000896
"141",0.0045273784031814
"142",0
"143",0.0341645533953226
"144",0
"145",0.244296913623843
"146",0.296716911005575
"147",0.0237494533588993
"148",0
"149",0.000518672199170124
"150",0
"151",0.0109807547824077
"152",0.00254481493956065
"153",0
"154",0
"155",0.00340044742729306
"156",0
"157",0.0375074510523178
"158",0
"159",0.00045186069780202
"160",0
"161",0.00293929712460064
"162",0.0566863008106374
"163",0.011193821010802
"164",0
"165",0.00381092465066524
"166",0
"167",0.00348525469168901
"168",0.00824068018312623
"169",0.112003584114692
"170",0
"171",0.0238404343207837
"172",0
"173",0.0144488711819389
"174",0.491024324611408
"175",0
"176",0
"177",0.000299625468164794
"178",0
"179",0.0026084121291164
"180",0
"181",0
"182",0
"183",0.000896
"184",0.056453023852569
"185",0.00912408759124088
"186",0
"187",0.000140459301917269
"188",0
"189",0
"190",0
"191",0.00295364068318993
"192",0
"193",0.302124311565696
"194",0
"195",0.00698412698412698
"196",0.055537873965627
"197",0
"198",0
"199",0.0930358350236646
"200",0
"201",0.223810913335279
"202",0
